Order,Zone,Section,Peg,Angler,lbs,oz,drams,tg-pts,Weight,FormatLbs,FormatOz,FormatDram,TotalDrams,TotalWeight,ChkPts,SectionPoints,ZonePoints,MatchPos,SectionPos,ZonePos,MatchPosition,SctnIndex,ZnIndex,Index,Team,League,ZoneSctn,RiverBank,River,SectionPayout,ZonePayout
,D,7,10,Paul Abbott,12,13,,3,12-13,12,13,0,3280,12-13,-2,1,3,10,1st,3rd,10th,7-1,D-3,D7.10,Paul Abbott & Steve Clark,white,D7,"Potter Heigham
Stagings",Thurne,1st,
,D,7,9,Preston Gilding,3,9,,8,3-09,3,09,0,912,3-09,-3,5,8,34,5th,8th,34th,7-5,D-8,D7.9,Preston Gilding & Martin Johnson,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,7,8,Mark Taylor,9,0,,7,9-00,9,00,0,2304,9-00,-4,3,7,23,3rd,7th,23rd,7-3,D-7,D7.8,Dave Parlett & Mark Taylor,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,7,7,Martin Spence,10,10,,5,10-10,10,10,0,2720,10-10,-3,2,5,16,2nd,5th,16th,7-2,D-5,D7.7,Mick Hanks & Martin Spence,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,7,6,Gary Abbott,8,7,,8,8-07,8,07,0,2160,8-07,-4,4,8,24,4th,8th,24th,7-4,D-8,D7.6,Gary Abbott & Karl Dowse,white,D7,"Potter Heigham
Stagings",Thurne,,
,D,8,5,Adrian Parrott,9,2,,6,9-02,9,02,0,2336,9-02,-2,4,6,21,4th,6th,21st,8-4,D-6,D8.5,Graham Coles & Adrian Parrott,white,D8,"Potter Heigham
Stagings",Thurne,,
,D,8,4,Mick Mirgaux,12,15,,2,12-15,12,15,0,3312,12-15,0,2,2,9,2nd,2nd,9th,8-2,D-2,D8.4,Brian Weavers & Mick Mirgaux,white,D8,"Potter Heigham
Stagings",Thurne,,
,D,8,1,Steve O'Rourke,12,12,,4,12-12,12,12,0,3264,12-12,-1,3,4,11,3rd,4th,11th,8-3,D-4,D8.1,Billy Hughes & Steve O'Rourke,white,D8,"Potter Heigham
Stagings",Thurne,,
,D,8,1a,Dave Gooch,15,2,,1,15-02,15,02,0,3872,15-02,0,1,1,6,1st,1st,6th,8-1,D-1,D8.1a,Dave Gooch & Robert Houlding,white,D8,"Potter Heigham
Stagings",Thurne,1st,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
