Order,Placing,Name,R1-P,R1-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight
1,1st,County Lines ,14,64-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,64-07
2,2nd,Team Ultra,15,62-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,62-00
3,3rd,WVA,15,59-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,59-14
4,4th,Diawa Angling Direct,15,58-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,58-11
5,5th,Diawa LBC,21,48-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,21,48-10
6,6th,Kev's 4,23,47-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,47-04
7,7th,AJB,25,39-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,25,39-05
8,8th,Nubees,25,37-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,25,37-04
9,9th,Ipshitz Raiders,27,34-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,34-13
