Order,Placing,Name,R1-P,R1-W,,R2-P,R2-W,,,,,,,,,,,,,,,,,,,,,,,,,,Points,Weight
1,1st,County Lines ,14,64-07,,13,65-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,129-12
2,2nd,Team Ultra,15,62-00,,13,62-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,28,124-14
3,3rd,Diawa Angling Direct,15,58-11,,14,54-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,29,112-12
4,4th,Cresta Norfolk,15,59-14,,20,51-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,35,111-13
5,5th,Diawa LBC,21,48-10,,20,54-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,41,103-02
6,6th,AJB,25,39-05,,19,59-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,44,98-07
7,7th,Kev's 4,23,47-04,,24,38-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,47,86-00
8,8th,New Bees,25,37-04,,26,33-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,51,71-03
9,9th,Ipshitz Raiders,27,34-13,,30,35-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,57,70-01
