Order,Placing,Name,R1-P,R1-W,,R2-P,R2-W,,R3-P,R3-W,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21st,Terry Moroz,9,9-15,,1,25-10,,6,16-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,52-05,15th,52-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22nd,Mick Hanks,4,22-03,,3,12-11,,9,10-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,44-15,27th,44-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23rd,Kevin Paynter,3,18-11,,4,18-14,,9,6-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,44-06,28th,44-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24th,Steve Day,8,10-01,,6,10-06,,2,20-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,41-05,31st,41-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25th,Barry Rogers,7,17-01,,4,12-10,,5,10-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,39-13,36th,39-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26th,Karl Redgrave,7,12-01,,1,19-06,,8,8-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,39-10,39th,39-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27th,Dave Gooch,6,17-04,,1,15-06,,9,6-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,38-15,40th,38-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28th,John Taylor,3,25-07,,8,10-13,,6,12-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,48-10,17th,48-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29th,Tony Curtis,1,20-09,,7,9-00,,9,12-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,42-05,29th,42-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30th,Glenn Mason,8,11-14,,3,18-05,,6,11-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,41-05,31st,41-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31st,Karl Dowse,10,9-06,,3,13-14,,4,17-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,41-02,33rd,41-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32nd,Richard Watson,4,19-14,,6,10-15,,7,7-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,38-01,46th,38-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33rd,Mark Murdoch,3,24-01,,10,11-14,,5,11-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,47-04,20th,47-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34th,Rob Johnson,6,12-02,,2,22-08,,10,6-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,40-15,34th,40-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35th,Dan Abbott,8,15-00,,6,15-02,,4,10-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,40-14,35th,40-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36th,Matty Corne,5,15-10,,8,7-15,,5,15-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,38-14,41st,38-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37th,Paul Simpson,5,18-02,,10,7-11,,3,12-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,38-10,43rd,38-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38th,Glenn Hubbard,5,19-07,,7,14-11,,7,11-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,46-01,23rd,46-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39th,Neil Smith,6,10-15,,4,10-15,,9,11-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,33-04,56th,33-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40th,Ian Bailey,8,11-01,,2,18-03,,10,10-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,39-12,38th,39-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
