Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,R3-P,R3-W,R3-W-Low,,,,,,,,,,,,,Points,Weight
1,1st,Essex County Angling,13,74-08,,6,59-02,,12,75-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,31,208-11
2,2nd,Daiwa Angling Direct Black,7,77-11,,20,38-01,,6,97-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,33,213-06
3,3rd,Clarky's,20,56-10,,11,48-14,,18,70-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,49,176-06
4,4th,Dukes AC,23,54-02,,19,41-15,,11,92-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,53,188-01
5,5th,PW Angling,16,63-01,,19,42-12,,18,70-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,53,176-05
6,6th,Wensum Valley Angling Orange,22,56-14,,20,38-12,,22,67-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,64,162-11
7,7th,The Special Ones,23,49-10,,29,25-12,,30,58-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,82,134-01
8,8th,Peterborough Match Team,27,44-04,,26,29-09,,31,53-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,84,127-11
9,9th,Kev's Four,29,45-07,,30,24-05,,32,41-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,91,110-14
