Order,Placing,Name,R1-P,R1-W,R1-W-Low,,,,,,,,,,,,,,,,,,,Points,Weight
1,1st,Daiwa Angling Direct Black,7,77-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,77-11
2,2nd,Essex County Angling,13,74-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,74-08
3,3rd,PW Angling,16,63-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,63-01
4,4th,Clarky's,20,56-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,56-10
5,5th,Wensum Valley Angling Orange,22,56-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,56-14
6,6th,Dukes AC,23,54-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,54-02
7,7th,The Special Ones,23,49-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,49-10
8,8th,Peterborough Match Team,27,44-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,44-04
9,9th,Kev's Four,29,45-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,29,45-07
