Order,Placing,Name,R1-P,R1-W,,R2-P,R2-W,,,,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,
1,1st,Paul Chambers,1,32-08,,1,26-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,58-08,2nd,58-08
2,2nd,Jed White,1,21-12,,1,29-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,50-15,3rd,50-15
3,3rd,James Bensley,1,50-05,,2,17-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,68-04,1st,68-04
4,4th,Andy Leathers,2,20-08,,1,18-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,38-14,8th,38-14
5,5th,Simon Newman,1,18-14,,2,16-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,35-04,17th,35-04
6,6th,Robert Houlding,2,28-15,,2,13-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,42-06,6th,42-06
7,7th,Robert Hubbard,2,26-13,,3,19-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,46-12,4th,46-12
8,8th,Graham West,1,27-07,,4,16-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,44-00,5th,44-00
9,9th,Ray Malle,3,16-14,,3,17-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,34-08,20th,34-08
10,10th,Kevin Paynter,3,18-11,,4,18-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,37-09,10th,37-09
11,11th,Mick Hanks,4,22-03,,3,12-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,34-14,18th,34-14
12,12th,Dave Gooch,6,17-04,,1,15-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,32-10,23rd,32-10
13,13th,Kevin Fuller,3,23-01,,5,15-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,38-04,9th,38-04
14,14th,Andy Wilding,5,19-13,,3,17-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,37-02,11th,37-02
15,15th,Justin Newton,2,18-14,,6,17-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,36-08,12th,36-08
