Order,Placing,Name,R1-P,R1-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,
29,29th,Barrie Lockey,5,15-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,15-06,37th,15-06
30,30th,Brian Weavers,5,14-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,14-11,42nd,14-11
31,31st,Pete Jackson,6,19-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,19-04,18th,19-04
32,32nd,Dave Gooch,6,17-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,17-04,26th,17-04
33,33rd,Steve O'Rourke,6,15-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,15-10,34th,15-10
34,34th,Rob Johnson,6,12-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,12-02,45th,12-02
35,35th,Andy Starkey,6,11-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,11-09,48th,11-09
36,36th,Ken Pacey,6,10-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,10-15,53rd,10-15
37,36th,Neil Smith,6,10-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,10-15,53rd,10-15
38,38th,Will Freeman,7,17-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,17-13,24th,17-13
39,39th,Barry Rogers,7,17-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,17-01,27th,17-01
40,40th,Jonathan Trevitt,7,15-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,15-01,39th,15-01
41,41st,Karl Redgrave,7,12-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,12-01,46th,12-01
42,42nd,Sean James,7,11-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,11-07,49th,11-07
43,43rd,Glenn Lawrence,8,17-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,17-00,28th,17-00
44,44th,Wayne Mitchell,8,16-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,16-14,30th,16-14
45,45th,Dan Abbott,8,15-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,15-00,40th,15-00
46,46th,Glenn Mason,8,11-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,11-14,47th,11-14
